id,intervention,sex,age,college,year,loc_1_bl,loc_2_bl,loc_3_bl,loc_4_bl,loc_5_bl,loc_6_bl,loc_7_bl,loc_8_bl,loc_9_bl,loc_10_bl,loc_1_fu,loc_2_fu,loc_3_fu,loc_4_fu,loc_5_fu,loc_6_fu,loc_7_fu,loc_8_fu,loc_9_fu,loc_10_fu,eff_1_bl,eff_2_bl,eff_3_bl,eff_4_bl,eff_5_bl,eff_1_fu,eff_2_fu,eff_3_fu,eff_4_fu,eff_5_fu
188,0,0,19,1,2,3,4,3,3,2,1,1,3,4,5,3,4,1,3,3,2,3,4,3,2,2,1,2,3,1,1,4,1,2,1
189,0,1,22,1,2,2,4,3,3,4,4,4,4,4,4,2,3,5,2,2,2,4,3,3,2,1,2,3,2,2,1,3,3,2,1
190,0,0,21,1,2,3,4,4,4,3,3,2,5,2,3,1,4,2,3,3,3,4,5,2,1,3,3,3,3,4,1,2,2,2,2
191,1,1,22,1,2,5,3,4,3,3,2,3,4,3,3,4,4,4,3,4,4,4,3,3,2,3,2,3,4,3,4,1,4,2,4
192,1,0,20,1,3,3,4,2,2,1,3,3,4,3,3,3,4,1,2,3,5,4,3,3,3,3,3,3,4,4,2,2,1,1,2
193,1,1,22,1,4,4,4,5,5,3,5,5,3,2,2,4,4,3,4,3,3,2,3,5,3,5,4,5,3,5,3,1,2,2,1
194,1,0,22,1,3,4,3,1,4,2,1,2,3,3,3,4,2,5,2,5,2,3,3,2,3,4,5,5,5,5,1,2,4,2,3
195,1,1,20,1,4,2,1,5,1,3,1,2,1,2,5,3,4,5,4,3,4,5,4,3,5,1,1,2,1,3,2,3,3,3,1
196,1,0,18,1,2,5,3,5,4,3,1,3,3,3,3,3,2,3,3,3,3,4,5,4,5,2,2,2,2,1,2,1,1,1,1
197,1,1,22,1,1,5,3,4,5,1,3,2,4,4,4,3,4,3,5,3,2,4,3,4,3,4,4,4,2,2,1,3,2,3,2
198,1,0,18,1,3,5,5,4,5,1,1,1,5,5,5,4,3,4,4,2,2,3,3,4,1,2,2,2,2,3,2,1,3,3,1
199,1,1,21,1,1,2,1,1,2,3,5,2,3,2,3,3,5,4,5,3,4,4,5,4,3,4,5,3,4,3,2,3,2,3,1
200,0,0,20,1,3,5,3,3,5,1,4,2,3,4,4,4,1,3,3,5,3,3,2,4,2,3,4,2,3,3,3,1,2,1,3
201,0,1,18,1,2,3,4,5,5,1,2,1,5,5,5,3,3,3,5,3,4,3,3,2,1,3,3,2,3,5,2,1,1,2,2
202,0,0,18,1,3,4,5,3,5,1,1,1,4,3,3,4,3,3,4,2,3,4,1,4,3,5,3,2,3,4,3,1,1,4,1
203,0,1,22,1,2,5,5,4,4,3,1,3,2,5,3,3,4,5,4,4,3,4,3,4,4,3,4,5,2,4,1,2,4,2,1
204,0,0,20,1,3,4,3,1,5,2,2,1,5,3,4,2,4,4,4,4,3,5,2,2,3,2,2,2,1,2,2,2,2,3,2
205,0,1,22,1,2,2,4,3,4,3,5,3,4,2,2,4,5,4,1,3,4,2,3,4,4,4,4,3,3,3,1,3,2,1,3
206,0,0,18,1,2,1,4,5,2,1,4,3,3,3,4,1,2,3,3,2,4,4,4,2,5,3,3,5,4,4,1,2,2,1,1
207,1,1,21,1,4,4,2,2,2,4,5,3,4,4,1,4,3,4,3,4,4,5,3,2,5,5,4,5,5,5,2,2,1,2,2
208,1,0,22,1,2,2,3,2,3,2,3,3,3,2,1,2,3,4,4,3,4,3,5,5,4,4,3,4,3,3,2,2,3,3,1
209,0,1,20,1,4,4,4,3,4,3,1,2,4,5,5,2,3,3,4,3,3,4,2,4,4,1,1,1,2,1,1,3,3,2,2
210,1,0,19,1,2,4,5,3,4,2,2,5,2,3,2,4,4,5,4,4,3,3,2,5,4,3,1,2,1,1,3,2,3,3,2
211,0,1,20,1,1,1,2,1,3,3,1,1,3,3,4,2,2,4,2,4,2,1,3,3,3,2,3,2,1,2,2,1,1,1,1
212,1,0,20,1,2,3,2,3,1,4,5,4,2,2,2,3,3,2,5,3,4,4,4,4,3,3,2,2,3,2,1,3,1,3,2
213,1,1,21,1,1,3,3,2,3,4,3,4,4,3,2,3,3,3,4,3,3,3,3,3,4,5,5,4,4,5,1,3,2,2,3
214,0,0,18,1,1,4,3,2,1,4,3,3,3,5,1,2,3,1,1,4,2,1,3,2,3,5,5,4,4,3,1,2,1,1,3
215,1,1,20,1,2,2,4,5,4,4,2,1,3,3,1,3,3,3,4,5,3,3,4,4,4,2,1,3,1,3,2,1,2,1,4
216,1,0,18,1,1,3,5,4,3,2,3,1,4,4,1,4,4,4,3,4,4,5,5,1,3,1,1,2,1,1,1,2,4,3,2
217,1,1,21,1,4,5,5,5,3,1,1,2,3,5,4,3,4,4,3,2,3,4,2,3,3,4,3,5,4,4,2,2,3,2,1
218,0,0,21,1,3,3,5,4,2,2,3,1,5,3,4,3,2,4,2,1,4,5,4,1,4,2,3,3,3,3,2,1,2,1,1
219,0,1,18,1,2,3,4,4,5,4,3,1,4,3,4,3,3,3,4,4,5,2,3,3,3,2,3,3,2,2,2,1,2,2,3
220,1,0,21,1,1,2,3,5,3,4,2,4,2,4,4,4,3,4,3,5,4,3,4,4,2,5,5,5,5,5,2,2,4,2,3
221,1,1,22,1,2,2,5,3,5,2,2,2,2,4,5,4,3,2,4,3,4,4,4,1,3,2,4,4,3,4,1,2,1,1,1
222,0,0,19,1,4,3,4,4,4,1,2,1,1,5,3,3,2,3,4,2,2,1,3,4,3,2,1,4,2,2,3,1,3,2,3
223,0,1,18,1,2,5,4,2,1,3,2,3,4,2,3,4,1,3,1,4,3,4,2,4,3,5,3,4,4,5,3,1,2,1,3
224,1,0,19,1,2,5,4,3,5,4,2,2,4,4,4,4,3,2,2,3,3,4,3,4,2,5,5,4,5,4,3,1,1,2,2
225,0,1,20,1,1,3,4,2,4,3,3,1,4,3,3,2,4,3,4,4,4,5,3,3,4,1,2,1,3,1,1,3,3,2,2
226,1,0,20,1,4,1,1,3,1,3,3,5,2,3,1,4,4,3,2,3,4,4,5,4,2,4,1,2,1,1,2,3,1,1,1
227,1,1,22,1,3,1,4,2,2,4,3,3,4,2,4,3,2,4,3,5,2,3,3,2,5,3,2,1,1,3,2,2,1,2,3
228,0,0,18,1,3,4,5,4,5,2,1,1,3,5,5,1,1,2,3,3,2,3,4,2,2,5,5,4,5,5,1,1,2,1,2
229,0,1,20,1,1,3,2,2,1,3,3,5,4,3,3,3,3,3,4,3,3,3,3,2,5,3,3,3,4,2,1,1,2,3,1
230,0,0,18,1,2,4,3,5,5,3,2,2,3,2,5,1,3,2,3,3,3,3,3,3,1,3,3,3,2,3,1,1,1,2,2
231,0,1,22,1,1,5,5,5,5,1,1,1,4,5,4,2,2,3,4,3,2,2,3,3,3,3,3,3,3,4,1,2,2,3,2
232,0,0,22,1,1,2,5,4,4,3,4,3,1,5,4,5,2,3,3,3,2,1,4,2,2,3,3,3,2,3,4,1,2,2,2
233,1,1,22,1,1,2,4,2,3,1,4,4,1,2,2,3,2,3,4,4,3,3,3,4,4,3,3,5,2,2,1,1,1,2,2
234,0,0,19,1,2,3,1,3,3,5,5,5,3,3,3,2,2,2,3,2,4,4,1,1,3,2,3,2,1,2,1,1,2,1,2
235,0,1,22,1,4,2,5,3,3,3,2,3,2,5,4,3,4,1,4,5,5,3,4,1,3,2,3,3,3,4,1,2,1,1,3
236,0,0,18,1,1,1,1,2,2,2,4,5,2,1,1,5,3,1,1,4,2,5,3,3,3,3,1,3,1,1,4,1,2,1,1
237,1,1,18,1,2,2,3,2,3,2,5,4,1,1,1,1,4,2,3,4,3,4,4,4,5,3,3,1,3,3,1,2,2,3,3
238,1,0,19,1,4,2,2,3,3,5,4,3,1,1,1,4,3,3,4,3,3,5,4,4,3,5,4,5,5,5,3,1,2,2,2
239,0,1,20,1,1,2,2,2,1,3,4,4,3,2,5,4,5,3,4,4,2,4,3,3,2,3,3,3,4,3,3,3,1,2,2
240,0,0,19,1,3,3,3,1,1,3,4,3,2,2,1,4,4,3,2,3,4,3,3,3,4,4,3,5,4,4,4,4,2,2,1
241,0,1,22,1,4,1,1,2,3,4,3,3,2,2,1,2,4,3,4,4,3,5,3,3,5,3,3,3,2,3,1,1,1,2,2
242,1,0,21,1,1,4,1,1,3,5,4,4,3,3,2,3,4,4,2,3,3,4,4,1,4,1,1,1,2,2,2,2,3,1,2
243,0,1,20,1,4,2,2,4,1,2,5,3,3,2,3,2,3,2,4,4,3,2,3,3,4,4,3,4,3,3,3,2,1,2,1
244,1,0,22,1,4,2,3,3,4,3,2,1,3,3,4,4,2,5,3,4,3,2,3,2,4,3,1,1,1,1,2,2,2,2,2
245,1,1,21,1,4,2,1,3,2,5,4,5,2,2,2,5,4,3,2,4,3,5,3,4,5,3,3,4,3,2,1,3,2,3,2
246,0,0,22,1,4,2,2,1,1,4,4,5,1,1,1,3,3,4,4,4,4,4,4,2,3,3,3,2,2,3,2,1,3,2,3
247,0,1,20,1,4,1,2,4,2,5,5,5,1,1,1,4,3,2,3,2,4,3,3,3,2,5,3,2,3,4,2,1,1,1,2
248,1,0,20,1,4,3,1,1,3,5,4,2,1,4,1,4,5,5,4,5,4,3,4,5,4,3,2,2,3,2,3,3,2,4,3
249,0,1,18,1,1,1,1,2,1,5,4,4,2,2,1,3,3,1,3,2,4,2,4,3,2,1,1,1,1,1,1,1,2,2,1
250,0,0,20,1,3,1,1,1,1,5,5,4,1,1,3,3,3,4,3,4,3,3,4,3,3,4,4,2,4,4,2,1,3,2,3
251,0,1,21,1,2,5,5,5,5,1,1,4,4,2,4,3,5,2,1,3,1,4,1,3,3,2,3,3,2,3,1,4,1,1,1
252,0,0,20,1,4,3,3,5,5,1,2,1,5,5,3,4,4,3,3,2,2,5,3,3,3,5,4,4,3,2,1,3,3,2,1
253,0,1,22,1,2,2,1,1,2,5,3,5,3,3,2,4,4,3,4,4,5,4,2,2,2,2,2,3,4,4,2,2,1,2,3
254,1,0,18,1,1,4,2,4,2,2,3,4,3,4,2,5,4,3,3,3,5,4,4,5,3,5,5,5,5,5,4,2,2,1,2
255,1,1,21,1,4,5,5,4,4,2,1,2,4,4,4,3,3,4,4,2,4,3,1,4,3,3,1,1,2,1,1,3,2,1,1
256,0,0,18,1,3,4,2,2,3,5,4,2,3,3,3,3,4,3,1,4,4,3,2,3,5,2,2,1,1,2,2,2,2,1,1
257,0,1,18,1,2,2,3,2,3,3,3,3,5,2,3,2,3,2,3,3,3,3,4,3,3,4,3,3,3,3,2,2,1,1,1
258,0,0,19,1,4,1,1,4,1,2,4,2,1,4,3,3,4,3,4,3,3,2,4,4,3,2,3,4,4,3,1,3,3,1,3
259,1,1,22,1,1,4,5,2,4,4,3,4,3,3,3,2,3,2,3,4,3,3,3,4,3,4,4,3,4,3,2,1,3,3,2
260,1,0,21,1,3,5,4,4,3,2,3,2,4,3,4,4,3,4,3,3,3,3,4,3,4,1,3,2,1,2,2,1,3,2,1
261,1,1,18,1,2,2,3,2,1,4,3,5,1,2,3,1,4,3,4,2,3,5,5,2,3,3,3,3,3,2,1,2,1,3,1
262,0,0,18,1,2,3,5,4,5,3,2,4,4,3,2,3,3,2,3,2,4,2,4,5,1,3,4,3,4,2,2,3,3,2,1
263,0,1,19,1,4,3,5,3,3,3,3,2,4,5,3,2,2,4,3,2,2,3,2,5,3,3,4,2,3,3,2,1,2,2,1
264,1,0,18,1,3,3,2,4,1,2,4,1,4,2,2,2,3,4,2,3,3,4,4,4,4,3,3,2,3,5,3,1,1,1,2
265,0,1,18,1,3,2,1,2,5,5,4,1,1,3,2,4,3,3,3,2,4,4,3,3,4,3,2,5,4,3,3,2,3,2,1
266,1,0,20,1,3,4,4,2,2,3,4,5,3,1,1,4,3,3,4,4,5,4,4,4,5,4,3,3,1,3,2,2,2,1,1
267,0,1,20,1,3,4,5,4,5,2,2,3,5,3,4,2,4,4,2,3,2,4,4,3,2,4,3,4,4,4,1,2,2,1,3
268,0,0,22,1,1,1,1,1,1,3,5,5,2,3,2,2,2,3,4,3,2,5,3,3,4,2,4,3,2,5,1,2,1,3,1
269,0,1,18,1,3,1,3,1,2,5,2,4,2,1,1,3,1,5,2,3,1,3,3,3,2,4,4,5,4,4,1,1,3,2,2
270,0,0,21,1,2,2,4,5,2,3,1,1,4,5,4,3,3,4,2,4,3,4,2,3,5,3,2,3,5,3,2,1,2,1,2
271,1,1,21,1,2,5,4,5,5,2,2,1,3,3,5,3,4,4,3,4,5,3,3,5,4,3,4,1,3,2,2,4,2,2,2
272,1,0,18,1,1,4,3,3,3,3,2,5,4,4,3,4,3,4,3,5,5,3,4,4,5,4,4,2,2,4,3,1,2,1,4
273,0,1,20,1,2,4,1,1,1,5,4,4,2,2,3,3,2,3,1,2,3,4,4,3,2,4,2,4,2,3,2,1,2,2,2
274,0,0,21,1,2,1,3,3,1,5,3,3,1,5,2,5,5,3,4,4,2,3,3,2,1,4,4,3,2,3,2,3,1,3,3
275,0,1,22,1,3,3,2,1,2,5,2,5,2,3,3,4,4,3,3,3,3,3,2,5,4,4,5,5,5,4,2,4,2,2,2
276,0,0,22,1,2,3,1,2,5,2,2,4,5,1,2,2,2,5,1,4,3,3,4,4,2,4,2,2,3,1,1,1,1,1,3
277,1,1,21,1,1,1,3,4,2,3,3,5,1,2,1,3,2,4,5,3,5,3,3,4,4,2,2,4,2,5,2,1,2,2,2
278,1,0,18,1,3,2,3,4,2,4,3,3,3,2,3,4,3,3,4,4,2,2,4,5,5,1,3,3,3,1,4,2,1,2,3
279,1,1,21,1,4,4,1,1,1,3,3,1,1,2,3,3,2,4,4,4,4,3,4,3,3,2,3,2,3,3,2,2,4,2,2
280,0,0,21,1,3,1,2,3,2,3,2,3,3,4,2,2,2,3,2,3,2,3,4,3,4,2,2,3,3,2,1,2,1,1,1
281,1,1,21,1,1,2,4,4,3,2,3,5,3,2,4,5,4,3,3,3,4,3,5,3,4,2,3,2,4,3,3,4,2,1,1
282,1,0,19,1,3,3,2,3,2,3,2,5,4,3,4,3,2,2,4,3,2,5,4,3,3,1,1,2,2,1,3,2,2,1,1
283,1,1,20,1,3,3,5,4,4,1,2,1,4,4,4,4,4,3,3,3,3,4,5,4,3,4,3,4,3,3,2,3,1,1,3
284,0,0,18,1,1,3,4,5,2,3,2,1,3,3,3,3,2,2,4,5,4,5,5,3,2,3,2,2,4,3,2,2,1,1,3
285,0,1,18,1,3,1,2,3,3,5,3,4,1,3,2,2,4,3,3,4,2,4,4,2,1,2,3,2,2,1,2,2,2,1,1
286,1,0,18,1,1,2,3,4,4,1,1,3,5,4,3,4,4,2,5,4,4,4,4,3,3,4,1,2,2,2,2,2,1,3,2
287,1,1,19,1,1,5,5,5,4,2,1,1,5,5,5,4,4,4,2,4,3,5,2,2,5,2,1,3,1,2,2,2,2,1,2
288,0,0,22,1,4,1,1,2,1,5,4,4,3,1,2,4,1,5,3,3,5,1,4,2,5,3,4,4,2,1,2,1,3,2,2
289,0,1,19,1,2,2,3,3,3,1,3,3,4,2,2,2,1,2,1,3,1,5,4,3,2,3,4,4,3,3,1,1,1,1,1
290,1,0,22,1,2,2,1,3,1,5,5,4,1,1,2,3,3,2,2,3,3,4,4,5,3,4,2,4,2,5,2,1,2,1,3
291,1,1,19,1,3,4,2,2,3,4,5,3,1,3,3,2,3,4,3,4,5,2,2,4,2,3,4,1,2,3,1,1,2,2,2
292,0,0,19,1,3,1,3,3,4,5,4,2,1,1,5,3,4,4,2,1,2,5,3,3,4,4,3,4,5,4,3,2,4,1,1
293,1,1,22,1,4,2,3,1,1,2,4,5,1,1,5,5,5,5,2,2,2,2,4,4,4,2,2,1,1,1,3,1,3,3,1
294,1,0,21,1,4,1,1,1,2,5,5,5,1,2,2,4,5,2,3,5,5,4,2,3,2,5,4,4,4,5,4,2,1,2,2
295,1,1,18,1,4,5,5,3,2,2,2,1,3,5,4,3,3,4,3,5,5,3,4,3,2,1,1,1,1,1,2,2,2,2,3
296,0,0,18,1,1,3,2,4,3,4,3,4,3,3,2,5,2,3,4,2,1,3,4,4,3,4,4,4,5,2,3,2,1,2,2
297,1,1,20,1,4,5,4,5,3,2,2,1,3,2,1,3,2,2,4,3,4,2,3,4,3,3,3,2,1,4,1,1,1,3,2
298,0,0,18,1,4,2,3,3,5,2,2,2,2,5,5,3,4,3,1,4,4,2,2,3,2,3,4,4,2,5,2,1,1,1,2
299,0,1,19,1,3,2,5,2,2,4,4,5,3,3,2,4,2,3,1,2,4,5,1,5,1,1,2,3,2,1,4,2,2,1,2
300,1,0,20,1,4,3,4,5,3,1,1,1,4,3,5,4,5,5,5,4,3,4,2,2,4,2,3,2,3,3,3,3,3,4,1
301,0,1,21,1,1,1,1,3,2,4,5,2,1,3,2,2,4,2,4,2,5,2,2,3,3,5,4,4,4,5,1,4,1,3,1
302,1,0,22,1,1,4,2,4,3,2,3,5,2,2,3,5,2,3,4,5,4,3,3,2,2,5,3,4,4,4,4,2,2,2,3
303,1,1,20,1,3,3,2,1,1,4,3,4,2,2,2,3,4,5,3,3,5,4,4,5,2,2,2,2,3,1,1,2,2,3,1
304,0,0,20,1,4,4,4,3,3,3,1,4,3,5,5,5,3,3,2,4,2,2,2,3,4,3,2,2,2,3,4,1,1,1,2
305,1,1,19,1,4,5,4,5,4,1,1,1,5,4,4,1,4,3,1,3,5,2,4,5,2,5,5,5,5,3,2,2,3,1,1
306,1,0,18,1,1,3,4,5,5,1,2,2,3,4,4,5,4,4,2,5,5,5,3,2,3,3,4,4,4,3,3,1,1,2,3
307,1,1,18,1,4,5,4,4,3,1,2,2,5,4,3,3,2,5,4,3,3,3,4,4,5,5,3,3,4,5,2,1,3,1,1
308,1,0,19,1,4,1,1,1,3,4,4,5,1,5,5,3,3,3,4,2,4,5,4,4,3,1,1,2,1,3,2,3,4,4,1
309,1,1,20,1,4,1,5,4,5,3,1,1,3,3,4,4,2,4,2,3,3,4,3,4,3,2,3,3,3,4,3,1,3,1,2
310,0,0,19,1,2,2,5,2,3,2,3,1,2,5,4,2,3,3,4,3,4,3,4,2,4,2,3,1,1,3,1,2,2,3,2
311,1,1,20,1,3,1,4,2,4,3,4,2,5,4,2,3,2,2,4,5,3,5,3,4,4,1,2,1,1,1,1,2,1,3,3
312,0,0,21,1,2,3,2,4,4,3,2,2,1,3,2,3,2,5,3,1,3,3,3,4,2,4,5,5,4,3,1,2,2,2,3
313,0,1,21,1,3,4,2,4,3,4,3,4,5,3,2,4,5,4,3,2,5,4,2,4,4,2,2,1,2,2,2,2,3,3,1
314,0,0,20,1,1,2,2,3,3,1,5,5,3,2,2,3,4,3,4,4,2,5,5,4,2,4,2,4,2,3,1,1,1,3,1
315,0,1,18,1,4,5,4,5,5,4,1,1,5,4,5,3,3,5,4,3,2,4,3,2,3,1,1,1,2,2,2,2,5,2,2
316,1,0,21,1,3,3,4,4,4,2,2,2,3,3,5,3,2,3,3,5,4,4,4,3,5,1,1,1,1,1,1,2,2,1,2
317,0,1,22,1,2,1,2,1,3,2,4,3,1,1,2,3,3,1,4,4,2,3,3,3,2,4,4,4,4,5,2,1,1,3,3
318,0,0,22,1,4,3,3,3,4,3,4,3,5,4,5,3,1,3,3,2,3,3,1,4,4,4,4,4,5,4,2,1,2,3,2
319,0,1,21,1,1,5,4,2,4,3,2,3,3,5,5,3,3,5,2,4,2,4,2,1,4,5,5,5,5,5,2,2,3,1,4
320,0,0,21,1,3,1,4,1,1,4,4,4,2,4,4,4,4,4,1,2,4,2,3,3,2,1,1,1,1,1,2,2,3,1,1
321,0,1,21,1,3,3,1,2,3,3,4,4,3,1,3,3,4,3,3,3,2,2,4,3,4,3,3,2,4,3,1,3,2,1,3
322,0,0,21,1,3,5,5,5,2,2,1,2,2,5,5,3,2,2,4,3,4,4,2,3,1,3,5,4,5,2,1,1,1,4,1
323,0,1,19,1,4,3,5,4,3,3,1,3,5,5,3,4,3,3,4,3,3,2,5,3,2,1,1,1,1,2,3,2,3,2,1
324,0,0,20,1,2,4,1,3,4,5,4,3,3,2,4,5,4,2,3,1,2,5,3,4,3,4,4,1,3,4,3,3,2,2,1
325,0,1,21,1,2,2,2,4,4,1,1,3,3,2,3,2,2,3,2,3,3,2,3,4,3,5,4,4,2,5,1,1,1,2,3
326,0,0,20,1,3,4,2,1,5,4,1,1,2,3,3,3,4,4,2,3,3,5,2,3,3,2,3,4,4,4,1,3,3,1,1
327,1,1,18,1,1,1,1,2,1,4,5,4,3,1,2,2,4,3,3,4,4,5,5,1,4,1,3,4,1,2,2,2,2,1,3
328,1,0,18,1,1,3,4,3,3,5,2,1,2,3,3,3,5,4,3,5,4,3,4,4,4,3,2,1,4,2,2,4,3,1,2
329,1,1,20,1,2,1,3,3,2,3,3,5,2,3,2,3,2,3,1,3,4,4,4,3,3,3,4,3,3,2,2,1,2,1,1
330,1,0,21,1,1,2,2,1,1,5,5,5,2,3,1,3,4,4,3,4,2,3,3,4,3,1,4,4,2,1,2,3,2,2,3
331,0,1,22,1,2,1,2,5,1,3,4,5,2,3,4,2,3,4,1,2,2,1,4,3,4,2,2,1,1,1,1,2,2,1,2
332,1,0,20,1,3,4,1,5,3,1,2,1,5,4,5,2,3,4,3,4,4,4,4,3,2,1,2,2,2,3,1,2,3,1,2
333,1,1,21,1,2,3,2,2,3,4,2,3,4,2,4,4,1,5,4,3,4,5,3,3,2,2,4,3,4,4,3,1,2,3,2
334,1,0,20,1,2,2,1,3,2,5,5,5,3,1,1,2,2,3,5,5,1,3,4,3,2,1,1,2,1,2,2,1,3,2,3
335,0,1,22,1,3,4,5,5,4,1,1,2,4,4,4,2,3,3,1,1,4,4,2,3,3,4,2,2,1,1,2,3,1,1,1
336,1,0,22,1,1,2,4,5,2,1,2,1,3,5,5,3,5,4,4,3,3,5,2,2,2,3,1,2,4,1,2,2,4,2,1
337,0,1,19,1,2,3,4,4,5,3,4,4,3,4,5,3,3,3,3,3,4,3,1,4,3,3,2,2,4,3,1,2,2,2,2
338,0,0,21,1,2,1,2,2,2,4,5,5,2,3,1,3,2,4,3,4,4,2,3,5,3,4,3,3,1,3,2,3,3,1,2
339,1,1,19,1,3,2,2,4,4,5,3,5,3,3,4,3,4,4,4,4,5,4,5,2,3,2,5,3,3,4,2,2,2,2,3
340,1,0,21,1,1,1,1,2,2,4,4,3,2,1,2,3,2,5,4,3,3,3,3,2,2,3,4,4,1,3,1,2,4,2,3
341,1,1,22,1,2,2,4,4,4,5,4,2,3,4,4,2,4,2,4,3,3,4,4,4,2,3,1,3,2,1,1,2,1,1,2
342,1,0,20,1,3,2,4,2,5,2,3,5,2,5,4,3,2,4,3,4,3,4,3,4,5,2,4,4,5,3,1,1,1,1,2
343,1,1,18,1,2,5,5,3,3,1,1,1,4,5,5,4,4,2,3,4,3,5,4,3,3,5,4,5,2,4,4,2,1,1,4
344,0,0,21,1,4,3,3,3,4,2,1,1,4,3,4,1,5,2,2,3,3,4,4,2,4,5,5,5,5,5,1,3,2,1,2
345,0,1,18,1,3,4,5,5,5,2,1,2,4,3,4,4,2,4,4,3,3,2,3,3,3,5,5,4,5,4,1,2,3,3,3
346,1,0,18,1,1,4,1,2,2,5,5,4,1,2,3,4,4,2,3,3,3,1,3,3,5,3,3,3,2,3,3,2,2,1,2
347,1,1,18,1,1,3,3,4,3,4,4,2,1,4,1,4,4,3,3,5,3,3,2,3,1,3,4,3,2,2,4,3,1,1,2
348,0,0,19,1,1,5,4,3,3,4,3,1,4,3,3,3,3,2,3,1,4,3,3,3,3,4,3,4,4,3,3,1,2,2,2
349,0,1,21,1,1,3,3,1,1,3,5,3,3,4,2,4,3,4,4,3,4,2,2,3,3,3,3,4,5,2,1,2,3,3,2
350,0,0,22,1,2,2,3,2,3,3,5,4,2,5,2,3,3,4,4,4,3,4,3,2,4,5,4,3,5,4,2,1,3,1,2
351,0,1,20,1,2,2,4,4,4,2,1,1,5,3,5,4,3,3,4,2,4,4,3,4,3,3,1,4,3,3,2,2,2,2,2
352,1,0,20,1,1,1,2,3,2,3,4,3,1,5,3,3,4,4,3,3,2,2,1,3,3,2,1,3,2,1,1,4,2,3,2
353,0,1,22,1,1,1,4,5,1,5,3,3,4,2,2,3,3,1,5,3,1,4,3,3,3,5,5,5,4,5,1,4,1,2,1
354,0,0,20,1,1,5,5,5,4,2,2,1,4,4,5,3,3,2,3,4,4,3,3,3,2,1,2,1,1,2,2,2,1,1,2
355,0,1,21,1,2,3,3,4,2,3,4,3,5,2,2,2,3,2,3,2,3,3,4,3,2,4,4,5,5,5,1,2,2,2,1
356,1,0,22,1,1,4,5,5,4,2,3,1,5,3,5,5,4,2,3,2,4,2,4,4,4,3,2,4,2,1,3,2,2,1,3
357,1,1,21,1,1,3,5,2,2,3,2,2,5,5,2,3,4,4,3,2,5,4,4,3,3,3,3,3,2,2,2,2,2,1,2
358,1,0,19,1,4,5,5,5,3,2,2,2,4,2,5,4,3,3,3,3,4,2,3,4,2,3,2,2,3,1,2,1,3,3,2
359,1,1,22,1,4,3,5,4,2,2,2,3,2,2,5,3,4,4,4,3,4,2,3,5,2,3,4,3,3,5,2,3,2,3,3
360,0,0,22,1,1,4,5,4,5,2,3,2,5,4,5,3,2,5,4,2,1,4,3,4,2,4,2,1,4,2,3,1,3,1,1
361,1,1,19,1,3,4,4,5,3,3,2,1,3,2,3,4,4,3,2,3,3,3,3,5,5,5,4,5,4,4,2,3,2,1,1
362,0,0,20,1,1,4,3,4,5,4,3,1,4,3,5,4,2,3,4,2,3,5,1,3,4,1,1,1,1,1,3,1,1,1,1
363,0,1,20,1,4,5,3,5,3,4,3,2,3,3,4,3,3,5,1,3,3,4,3,3,3,3,2,1,3,1,2,1,1,1,1
364,0,0,20,1,3,5,5,5,5,3,1,2,3,5,5,2,3,2,3,4,1,5,5,4,4,2,2,3,3,1,1,1,2,3,3
365,1,1,19,1,3,4,3,2,3,2,2,4,1,5,4,2,4,5,3,3,4,2,3,3,5,4,2,3,3,4,1,1,4,1,2
366,1,0,18,1,1,3,4,4,4,3,1,2,2,4,3,2,3,2,5,4,4,3,2,3,3,4,2,5,4,3,1,3,1,3,3
367,1,1,21,1,4,3,3,3,4,2,2,3,1,3,3,3,2,4,4,5,4,3,1,3,4,2,2,1,3,3,2,1,2,2,3
368,1,0,18,1,4,4,1,2,2,3,4,5,1,2,3,3,3,2,5,3,5,5,3,3,3,3,1,2,1,3,3,1,1,4,2
369,1,1,21,1,3,5,4,5,4,2,1,1,5,3,4,3,4,5,3,4,4,4,3,4,2,4,2,2,4,2,2,2,3,2,1
370,0,0,22,1,1,3,1,2,2,5,2,4,3,1,3,2,2,2,2,3,3,4,4,3,4,4,4,4,3,3,1,1,1,1,2
371,1,1,22,1,2,1,1,2,1,4,5,3,2,2,2,5,4,3,3,5,3,4,1,3,2,3,2,5,3,3,4,3,1,2,4
372,0,0,20,1,2,3,1,3,2,3,5,2,4,3,4,4,4,3,2,4,3,2,4,4,2,3,5,5,4,5,2,3,2,1,2
373,1,1,21,1,4,5,5,5,5,1,1,1,4,5,5,4,5,3,4,4,4,3,3,3,4,2,2,2,1,3,3,3,2,3,1
374,0,0,18,1,2,3,5,4,5,2,2,1,5,5,4,3,3,3,4,2,5,3,2,4,2,5,5,5,5,5,2,1,2,2,2
375,1,1,22,1,4,1,2,1,2,5,4,4,3,2,1,5,3,2,2,5,4,4,2,3,4,5,5,3,4,2,4,1,1,1,3
376,1,0,20,1,4,2,4,4,2,3,3,2,3,3,2,4,3,3,4,4,3,4,2,3,2,2,1,2,2,1,3,2,3,3,1
377,1,1,19,1,4,5,4,2,3,4,5,3,3,3,2,3,4,4,5,3,2,3,3,5,3,4,4,3,4,4,1,3,1,2,2
